Department,EducationField,JobRole,MaritalStatus,Gender,MonthlyIncome,TotalWorkingYears,YearsAtCompany,YearsWithCurrManager,JobLevel,DistanceFromHome,Age
Sales,Life Sciences,Sales Executive,Single,Female,5993,8,6,5,2,1,41
Research & Development,Life Sciences,Research Scientist,Married,Male,5130,10,10,7,2,8,49
Research & Development,Other,Laboratory Technician,Single,Male,2090,7,0,0,1,2,37
Research & Development,Life Sciences,Research Scientist,Married,Female,2909,8,8,0,1,3,33
Research & Development,Medical,Laboratory Technician,Married,Male,3468,6,2,2,1,2,27
Research & Development,Life Sciences,Laboratory Technician,Single,Male,3068,8,7,6,1,2,32
Research & Development,Medical,Laboratory Technician,Married,Female,2670,12,1,0,1,3,59
Research & Development,Life Sciences,Laboratory Technician,Divorced,Male,2693,1,1,0,1,24,30
Research & Development,Life Sciences,Manufacturing Director,Single,Male,9526,10,9,8,3,23,38
Research & Development,Medical,Healthcare Representative,Married,Male,5237,17,7,7,2,27,36
Research & Development,Medical,Laboratory Technician,Married,Male,2426,6,5,3,1,16,35
Research & Development,Life Sciences,Laboratory Technician,Single,Female,4193,10,9,8,2,15,29
Research & Development,Life Sciences,Research Scientist,Divorced,Male,2911,5,5,3,1,26,31
Research & Development,Medical,Laboratory Technician,Divorced,Male,2661,3,2,2,1,19,34
Research & Development,Life Sciences,Laboratory Technician,Single,Male,2028,6,4,3,1,24,28
Research & Development,Life Sciences,Manufacturing Director,Divorced,Female,9980,10,10,8,3,21,29
Research & Development,Life Sciences,Research Scientist,Divorced,Male,3298,7,6,5,1,5,32
Research & Development,Medical,Laboratory Technician,Divorced,Male,2935,1,1,0,1,16,22
Sales,Life Sciences,Manager,Married,Female,15427,31,25,7,4,2,53
Research & Development,Life Sciences,Research Scientist,Single,Male,3944,6,3,2,1,2,38
Research & Development,Other,Manufacturing Director,Divorced,Female,4011,5,4,3,2,11,24
Sales,Life Sciences,Sales Representative,Single,Male,3407,10,5,3,1,9,36
Research & Development,Life Sciences,Research Director,Single,Female,11994,13,12,11,3,7,34
Research & Development,Life Sciences,Research Scientist,Single,Male,1232,0,0,0,1,15,21
Research & Development,Medical,Research Scientist,Single,Male,2960,8,4,3,1,6,34
Research & Development,Other,Manager,Divorced,Female,19094,26,14,8,5,5,53
Research & Development,Life Sciences,Research Scientist,Single,Female,3919,10,10,7,1,16,32
Sales,Marketing,Sales Executive,Married,Male,6825,10,9,2,2,8,42
Research & Development,Medical,Healthcare Representative,Married,Female,10248,24,22,17,3,7,44
Sales,Marketing,Manager,Single,Female,18947,22,2,1,5,2,46
Research & Development,Medical,Laboratory Technician,Single,Male,2496,7,1,0,1,2,33
Research & Development,Other,Healthcare Representative,Married,Male,6465,9,4,3,2,10,44
Research & Development,Medical,Laboratory Technician,Single,Male,2206,10,10,8,1,9,30
Sales,Technical Degree,Sales Representative,Married,Male,2086,19,1,0,2,5,39
Research & Development,Medical,Research Scientist,Married,Male,2293,6,2,0,1,1,24
